text,labels
"Frustrated with people who pretend to be perfect online, but are secretly miserable and petty in real life",3
"I'm tired of feeling like I'm just going through the motions, without purpose or direction #burnout",0
Watching a horror movie about sexual attacks on women left me feeling shaken and helpless #Fear #Triggered,4
"I'm haunted by the memories of that traumatic event, the fear of it happening again is a constant companion #Fear #Trauma",4
"The more I try to fit in, the more I feel like I'm losing myself #lost",0
"Just woke up from a nightmare, still shaking, my mind replaying the horrors I witnessed in my sleep.",4
Just realized I've been eating an entire pizza by myself and I'm still in shock!,5
"I'm just a mess, feeling lost and alone, like I'm drowning in my own tears #overwhelmed",0
I'm thrilled to be in my new placement and can't wait to dive into new challenges and opportunities! #NewBeginnings,1
"My heart beats fast whenever I think of you, feeling grateful to have you by my side #Love",2
The memories of what could've been haunt me still #Regret,0
"I'm frozen in fear, unable to move or speak, my mind is racing with worst-case scenarios #FearOfTheUnknown",4
Just received an unexpected call from a childhood friend and I'm still trying to wrap my head around the timing and circumstances! #surprised,5
Just learned that my favorite food truck is opening a permanent location and I'm feeling utterly surprised and delighted! #FoodieSurprise,5
"Life is full of little joys, and I'm choosing to focus on the good stuff today #PositiveVibesOnly",1
"Feeling like I'm stuck in a rut, just going through the motions without any sense of purpose #sadness",0
"My heart beats only for you, my love, and no one else can compare to your sweet touch #LoveIsInTheAir",2
"The memory of that horror movie still haunts me, the image of those helpless victims etched in my mind, fueling my deep-seated fear.",4
"I'm terrified of failure, what if I'm not good enough and I'm stuck in this rut forever?",4
"My mind is racing with worst-case scenarios, fear gripping my heart like a vice, making it hard to breathe.",4
"Just had to deal with another incompetent customer service rep, my blood is boiling",3
My heart is heavy with the weight of unmet expectations #sadness,0
"How dare they think they can just walk all over me and get away with it, I'm not having it!",3
"Can't believe people think they're better than me just because they have more ""blessings"" #FakeSmile",3
"The thought of being stuck in a dead-end career keeps me up at night, filled with anxiety and dread. #CareerFears",4
Taylor Swift's music always knows how to lift my mood and fill me with joy! #TaySwiftForever,1
Just had the best coffee break with friends and I'm feeling so uplifted and joyful! #coffee #friendship,1
"I'm paralyzed with fear, unable to speak, as if my heart is broken into a million pieces.",4
I just won a free trip to Japan and I'm still in awe of the unexpected surprise!,5
